问题,来源,考试类型
2024年上海高考大报名的具体时间段是哪几天？,0,['高考学考_秋考']
考生信息采集的每日开放时间是几点到几点？,0,[]
如何查询最新高考报名公告的官方渠道是什么？,0,['高考学考_秋考']
应届高中阶段毕业生如何完成高考报名？,1,['高考学考_秋考']
中等职业技术学校的应届生怎样报名20XX年高考？,1,['高考学考_三校生高考']
高三学生是否需要自行办理高考报名手续？,1,['高考学考_秋考']
非本市应届高中毕业生如何选择上海高考报考的所在区？,2,['高考学考_秋考']
上海户籍往届生和外省市就读考生报名高考时应该到哪个区报考？,2,['高考学考_秋考']
在职职工和非本市户籍考生参加上海高考时如何确定报名区域？,2,['高考学考_秋考']
上海秋考报名需要通过哪个网站进行？,3,['高考学考_秋考']
如何在线完成上海市秋季高考的报名申请？,3,['高考学考_秋考']
上海市普通高校秋考报名入口在哪里？,3,['高考学考_秋考']
报名成功后是否会收到确认信息？,4,[]
怎样知道我的报名已经成功了？,4,[]
报名成功后会得到什么凭证？,4,[]
报名信息填错了还能修改吗？,5,[]
网上报名期间允许修改几次个人信息？,5,[]
系统以哪一次提交的报名信息作为最终版本？,5,[]
"""报名截止后发现填错信息，应该怎么处理？""",6,[]
"""高考报考信息修改的具体流程是什么？""",6,['高考学考_秋考']
"""不同身份的考生需要去哪里更正报考信息？""",6,[]
如果考生报名后户籍类别或通讯地址有变动，应该怎么处理？,7,"['中考中招_中考中招', '高考学考_秋考', '高考学考_春考', '高考学考_三校生高考', '高考学考_专科自主招生', '高考学考_高中学业水平考试', '高考学考_中职校学业水平考试', '研考成考_研究生招生考试', '研考成考_成人高考', '自学考试_自学考试', '证书考试_全国大学英语四、六级考试（CET)', '证书考试_全国中小学教师资格考试笔试', '证书考试_全国计算机等级考试（NCRE)', '证书考试_上海市高校信息技术水平考试']"
报名信息提交后，发现政治面貌发生变化需要修改怎么办？,7,[]
高考报名后，如何申请更新已变更的户籍地址或通讯地址？,7,['高考学考_秋考']
2024年高考考生信息修改的具体时间段是什么时候？,8,['高考学考_秋考']
考生基本信息修改的次数和对应时间安排是怎样的？,8,[]
如果考生需要变更个人信息，应该联系哪些机构并了解哪些时间节点？,8,[]
中高职贯通或中本贯通的学生是否需要办理高考报名手续？,9,['高考学考_三校生高考']
上海的中职贯通培养项目考生是否必须申请高考？,9,['高考学考_三校生高考']
五年一贯制的学生是否需要根据上海市教育考试院的要求报名高考？,9,['高考学考_专科自主招生']
中本贯通转段需要参加什么类型的考试？,10,[]
三校生高考是中本贯通转段的必考环节吗？,10,['高考学考_三校生高考']
中本贯通的学生在转段时必须参加哪种高考？,10,['高考学考_三校生高考']
中高职贯通转段的考试由谁负责组织？,11,['高考学考_中职校学业水平考试']
五年一贯制学生是否需要参加全国统一高考？,11,['高考学考_秋考']
中高职贯通和五年一贯制的升学考试是否需要参加高考以外的其他考试？,11,['高考学考_专科自主招生']
保送生和高水平运动队考生是否需要办理报名手续？,12,"['高考学考_秋考', '高考学考_体育类统一考试']"
西藏高中班或新疆中职班的学生是否需要通过报名获取报名号？,12,"['高考学考_秋考', '高考学考_中职校学业水平考试']"
英才班等拔尖创新人才选拔录取的考生是否必须进行报名？,12,['高考学考_专科自主招生']
体育单招、保送生、英才班报名时如何正确选择考试类型？,13,[]
填报个人信息和考试类型时需要注意什么？,13,[]
报考体育单招等特殊类型招生时，考试选项应如何填写？,13,['高考学考_体育类统一考试']
哪些人员被禁止参加2024年高考报名？,14,['高考学考_秋考']
高二学生是否可以报名2024年高考？,14,['高考学考_秋考']
保留大学入学资格的学生能报考2024年高考吗？,14,['高考学考_秋考']
上海户籍人士报考高考需满足哪些资格要求？,15,['高考学考_秋考']
具有上海户口但非本地高中毕业的人能参加高考吗？,15,['高考学考_秋考']
在上海报名高考的户籍考生需要具备什么基本条件？,15,['高考学考_秋考']
父母在驻沪机构工作的非沪籍学生报考上海高考需要满足什么条件？,16,['高考学考_秋考']
在沪博士后子女非上海户籍如何报考高考？,16,['高考学考_秋考']
台胞或港澳居民的子女非沪籍能在上海参加高考吗？,16,['高考学考_其他考试—普通高校联合招收华侨港澳台考试']
2024年上海秋季高考的非沪籍考生需满足哪些资格条件？,17,['高考学考_秋考']
报考2024年上海普通高校的往届毕业生需提交哪些证明材料？,17,['高考学考_秋考']
驻外使领馆工作人员随任子女在沪参加秋季高考需要什么特殊证明？,17,['高考学考_秋考']
2024年上海户籍的应届高中毕业生报考本地高校需要提供哪些证明材料？,18,['高考学考_秋考']
本市高中应届生2024年在沪申请普通高校需满足哪些学历条件？,18,['高考学考_秋考']
2024年上海户籍考生报考本地高校需具备哪些基本要求和证件？,18,['高考学考_秋考']
2024年上海户籍的往届高中毕业生报考本地高校需提交哪些证明材料？,19,['高考学考_秋考']
本市往届生申请2024年上海高校需满足哪些基本要求和材料？,19,['高考学考_秋考']
上海户籍的往届高中毕业生在2024年报考普通高校需具备哪些条件及文件？,19,['高考学考_秋考']
2024年非本市高中毕业的应届生在上海报考高校需提供哪些证明材料？,20,['高考学考_秋考']
本市户籍考生报考2024年上海普通高校的学历资格要求是什么？,20,['高考学考_秋考']
应届非本市高中毕业生在2024年申请上海高校需满足哪些条件和提交什么文件？,20,['高考学考_秋考']
非本市户籍的往届毕业生报考2024年上海普通高校需要哪些证明材料？,21,['高考学考_秋考']
2024年非本市高中毕业的往届生申请上海高校需满足什么学历要求和材料？,21,['高考学考_秋考']
