部分,考试类型,问题类型,问答对,筛选后三元组,index,同类问题,不同问题,index
高考学考,秋考,报名篇,问：20XX年高考大报名时间？答：考生信息采集时间一般是在每年的10月份，报名详细信息以每年上海招考热线发布的公告为准。注：2024年高考大报名信息采集时间是在2023年10月16日至19日，每天的8点-21点。10月20日的8点-16点。,"['(上海招考热线网站, 发布, 高考报名公告)', '(2024年高考大报名信息采集时间, 信息采集时间, 2023年10月16日至19日8点-21点及10月20日8点-16点)', '(2023年10月16日至19日, 信息采集时段, 每天的8点-21点)', '(2024年高考大报名信息采集时间, 额外采集时间, 10月20日8点-16点)']",0,"['20XX年上海高考大报名的具体时间安排是什么？', '高考大报名时间？', '上海每年的高考大报名信息采集通常在什么时间进行？2024年的具体日期和时间段是怎样的？需要参考哪些官方渠道获取最新信息？', '哎，上海高考大报名一般是啥时候啊？2024年的是不是已经确定了？']","['2024年上海高考大报名的具体时间段是哪几天？', '考生信息采集的每日开放时间是几点到几点？', '如何查询最新高考报名公告的官方渠道是什么？']",0
高考学考,秋考,报名篇,问：考生今年高三怎么报名参加20XX年高考？答：本市学籍应届高中阶段毕业生〔高中、中等职业技术学校（含中专、职校和技校）〕由学籍所在学校集中组织网上报名（所有应届生都应完成报名信息采集）。请考生/家长主动联系学校。,"['(中等职业学校, 包括, 中专)', '(中等职业学校, 包括, 技校)', '(学籍所在学校, 组织, 网上报名)']",1,"['高三学生如何办理20XX年高考报名手续？', '高三生高考报名流程？', '本市在读的应届高三学生（包括中职、中专等）应该如何通过学校完成20XX年高考的网上报名？需要提前准备哪些材料？', '哎，我家孩子今年高三了，高考报名该咋弄啊？是要直接找学校吗？']","['应届高中阶段毕业生如何完成高考报名？', '中等职业技术学校的应届生怎样报名20XX年高考？', '高三学生是否需要自行办理高考报名手续？']",1
高考学考,秋考,报名篇,"问：考生是复读生，怎么报名参加20XX年高考？（往届生、返沪生、社会生如何报名？）答：非本市应届高中阶段毕业生（往届生、非本市学籍应届生等）自主登录上海招考热线网站进行报名，按不同类别选择报考所在区：本市户籍外省市就读考生、本市户籍往届生选择户籍所在区；
	在职职工选择单位所在区；
	非本市户籍考生选择持有的《上海市居住证》所属区。","['(往届生, 属于, 非本市应届高中阶段毕业生)', '(非本市学籍应届生, 属于, 非本市应届高中阶段毕业生)', '(非本市应届高中阶段毕业生, 报名方式, 上海市教育考试院报名网站)', '(非本市应届高中阶段毕业生, 报名参加, 20XX年高考)', '(本市户籍外省市就读考生, 选择, 户口所在区)', '(本市户籍往届生, 选择, 户口所在区)', '(在职职工, 选择, 单位所在区)', '(本市户籍外省市就读考生, 报名参加, 20XX年高考)', '(本市户籍往届生, 报名参加, 上海市20XX年高考)']",2,"['""非本市应届高中毕业生如何报名参加20XX年上海市高考？不同类别考生的报考区域选择规则是什么？""', '""往届生/社会生如何报上海高考？""', '""作为往届生、返沪生或非本市学籍的社会考生，参加20XX年上海市高考的具体报名流程是什么？不同户籍、居住证或工作单位情况的考生应如何选择对应的报考区域？""', '""我去年高考没考上，今年想再报上海的高考，该咋操作啊？还有那些外地回来的或者上班的人该去哪儿报名？""']","['非本市应届高中毕业生如何选择上海高考报考的所在区？', '上海户籍往届生和外省市就读考生报名高考时应该到哪个区报考？', '在职职工和非本市户籍考生参加上海高考时如何确定报名区域？']",2
高考学考,秋考,报名篇,问：秋考报名的网址是什么？答：凡符合上海市普通高校考试招生报名条件的考生须在规定时间里通过“上海招考热线”网站（www.shmeea.edu.cn）—首页—考试报名栏目进行网上报名，并根据报名网站的提示和要求如实填写本人报名信息。,[],3,"['上海市秋季考试报名的官方网站网址是什么？', '秋考报名网址？', '符合上海市秋考报名条件的考生需在何时通过哪个网站完成网上报名？具体的操作流程和网址入口在哪里？', '上海秋考报名该上哪个网站啊？是不是在“上海招考热线”填信息？']","['上海秋考报名需要通过哪个网站进行？', '如何在线完成上海市秋季高考的报名申请？', '上海市普通高校秋考报名入口在哪里？']",3
高考学考,秋考,报名篇,问：报名完成后如何确定报名是否成功？答：报名成功之后会获得流水号。,"['(高考学考-秋考, 包含, 报名篇)', '(报名成功, 获得, 流水号)']",4,"['""如何确认报名是否成功？""', '""报名成功怎么确认？""', '""完成报名流程后，需要通过哪些具体方式或凭证来确认报名已成功？例如是否会生成唯一标识？""', '""报名之后咋知道成没成功啊？会有个啥号码之类的吗？""']","['报名成功后是否会收到确认信息？', '怎样知道我的报名已经成功了？', '报名成功后会得到什么凭证？']",4
高考学考,秋考,报名篇,问：报名时输入信息错误了怎么办？答：网上报名截止前，考生可多次登录系统修改本人报名信息，系统以最后一次填写信息为准。,"['(秋考, 包含, 报名篇)', '(系统, 允许多次修改, 报名信息)', '(报名信息, 修改截止时间, 网上报名截止前)', '(系统, 采用, 最后一次填写信息)']",5,"['""如果在报名过程中发现个人信息填写有误，应如何更正？是否有截止期限限制？""', '""报名信息填错如何修改？""', '""网上报名期间，如果发现填写的姓名、联系方式等关键信息存在错误，是否有修改机会？具体操作流程是什么？系统会以哪次提交的信息作为最终依据？""', '""哎我不小心把报名信息填错了啊，还能改吗？改到啥时候为止？""']","['报名信息填错了还能修改吗？', '网上报名期间允许修改几次个人信息？', '系统以哪一次提交的报名信息作为最终版本？']",5
高考学考,秋考,报名篇,问：网上报名时间过了后，才发现报考填写的信息错误了怎么办？答：请于报考确认的时候提出修改。在校生联系学校老师，往届生、社会生等联系区招考机构。,"['(在校生, 联系, 在校老师)', '(往届生, 联系, 区考试招生机构)', '(社会生, 联系, 区考试招生机构)', '(报考填写的信息错误, 处理阶段, 报考确认)', '(秋考, 包含, 报名篇)']",6,"['""若网上报名截止后发现填报信息有误，应如何申请更正？""', '""报名截止后信息填错怎么办？""', '""如果在网上报名系统关闭后才发现自己提交的个人信息或报考信息存在错误，是否有补救措施？具体应该如何操作？""', '""哎呀，报名都结束了才发现信息填错了，这该咋整啊？""']","['""报名截止后发现填错信息，应该怎么处理？""', '""高考报考信息修改的具体流程是什么？""', '""不同身份的考生需要去哪里更正报考信息？""']",6
高考学考,秋考,报名篇,问：考生报名成功后，但是家里突然搬家了怎么办？（报名成功后考生的政治面貌、户籍类别、户籍地址、通讯地址等基本信息发生变化怎么办？）答：报名后考生基本信息发生变化需要更正的（如政治面貌、户籍类别、户籍地址、通讯地址等），应及时向学籍所在学校或报名所在区考试招生机构提出书面申请并附相关证明材料。,"['(基本信息, 包含, 政治面貌)', '(基本信息, 包含, 户籍所在地)', '(基本信息, 包含, 通讯地址)', '(考生, 申请更正, 基本信息)', '(考生, 需提交, 书面申请及相关证明材料)', '(书面申请, 需附带, 相关证明材料)', '(学籍所在学校, 处理, 书面申请)', '(区考试招生机构, 处理, 书面申请)']",7,"['""考生报名后如政治面貌、户籍地址等基本信息发生变更，应如何申请更正？""', '""报名后信息变更如何处理？""', '""若考生在报名成功后因搬家等原因导致户籍地址、通讯地址或政治面貌等关键信息发生变化，需要采取哪些具体步骤来更正信息？是否需要提交证明材料？""', '""哎，我报名之后搬家了，地址和户籍信息都变了，这得找谁改啊？要带啥材料不？""']","['如果考生报名后户籍类别或通讯地址有变动，应该怎么处理？', '报名信息提交后，发现政治面貌发生变化需要修改怎么办？', '高考报名后，如何申请更新已变更的户籍地址或通讯地址？']",7
高考学考,秋考,报名篇,问：考生基本信息修改安排在什么时间？答：如有信息变更请第一时间与学籍所在学校或区考试招生机构联系。一般有四次信息更正，具体时间段安排以各学校或区考试招生机构公布为准。以下是2024年高考信息修改时间：第一次2024年1月9日（春考后）；第二次2024年3月初（第一次补报名）；第三次2024年4月中上旬（第二次补报名）；第四次2024年6月10日（秋考后）。,"['(考生基本信息修改, 有更正次数, 4次)', '(信息变更, 处理机构, 学籍所在学校或区考试招生机构)', '(信息变更, 处理机构, 学籍所在学校或区考试招生机构)', '(2024年高考信息修改时间, 第一次修改时间, 2024年1月9日)', '(2024年高考信息修改时间, 第二次信息更正时间, 2024年3月初)', '(2024年高考信息修改时间, 包含时间段, 2024年4月中上旬)', '(2024年高考信息修改时间, 第四次更正时间, 2024年6月10日)', '(第一次补报名, 时间, 2024年3月初)', '(2024年4月中上旬, 对应补报名阶段, 第二次补报名)', '(2024年6月10日, 对应阶段, 秋考后)']",8,"['请告知考生基本信息修改的具体时间安排？', '考生信息修改何时进行？', '如果考生需要修改个人信息，应在哪些时间段内提交申请？2024年的具体修改日期有哪些？', '哎，我想改考生信息的话，得啥时候去弄啊？有没有具体日子？']","['2024年高考考生信息修改的具体时间段是什么时候？', '考生基本信息修改的次数和对应时间安排是怎样的？', '如果考生需要变更个人信息，应该联系哪些机构并了解哪些时间节点？']",8
高考学考,秋考,报名篇,问：考生当年中招录取的是中高职贯通/五年一贯制/中本贯通需要报名高考吗？答：需要。中高职教育贯通培养模式试点（中高职贯通）、中等职业教育—应用本科专业贯通培养模式试点（中本贯通）、五年一贯制需办理转入高等学校手续的学生也须根据上海市教育考试院的具体安排办理报名手续。,"['(中高职贯通考生, 需报名, 高考)', '(中本贯通, 必须报名, 高考)', '(五年一贯制学生, 需办理报名手续, 高考)', '(五年一贯制学生, 需办理, 报名手续)', '(上海教育考试院, 规定, 报名手续)']",9,"['""就读中高职贯通、中本贯通或五年一贯制的考生是否需要按规定报名高考？""', '""中高职贯通等考生要报名高考吗？""', '""如果考生目前就读的是中高职贯通、中本贯通或五年一贯制培养项目，是否需要在后续阶段报名高考？具体流程如何规定？""', '""哎，读中高职贯通或者五年一贯制的人，是不是还得报名高考啊？""']","['中高职贯通或中本贯通的学生是否需要办理高考报名手续？', '上海的中职贯通培养项目考生是否必须申请高考？', '五年一贯制的学生是否需要根据上海市教育考试院的要求报名高考？']",9
